	geneID	proteinID	wikilink	counts
0	1	Q21115106	https://en.wikipedia.org/wiki/Alpha-1-B_glycoprotein	1
1	2	Q22680187	https://en.wikipedia.org/wiki/Alpha-2-Macroglobulin	1
2	9	Q21105258	https://en.wikipedia.org/wiki/N-acetyltransferase_1	1
3	9	Q21137345	https://en.wikipedia.org/wiki/N-acetyltransferase_1	1
4	10	Q21105254	https://en.wikipedia.org/wiki/N-acetyltransferase_2	1
5	12	Q21148036	https://en.wikipedia.org/wiki/Alpha_1-antichymotrypsin	1
6	12	Q4734974	https://en.wikipedia.org/wiki/Alpha_1-antichymotrypsin	1
7	13	Q4649849	https://en.wikipedia.org/wiki/AADAC	1
8	14	Q21139380	https://en.wikipedia.org/wiki/AAMP_(gene)	1
9	14	Q21141343	https://en.wikipedia.org/wiki/AAMP_(gene)	1
10	15	Q21173561	https://en.wikipedia.org/wiki/AANAT_(gene)	1
11	18	Q21118182	https://en.wikipedia.org/wiki/ABAT	1
12	18	Q21140852	https://en.wikipedia.org/wiki/ABAT	1
13	19	Q21115210	https://en.wikipedia.org/wiki/ABCA1	1
14	20	Q21115258	https://en.wikipedia.org/wiki/ABCA2	1
15	20	Q21138184	https://en.wikipedia.org/wiki/ABCA2	1
16	21	Q21115257	https://en.wikipedia.org/wiki/ABCA3	1
17	22	Q21115206	https://en.wikipedia.org/wiki/ABCB7	1
18	22	Q21141062	https://en.wikipedia.org/wiki/ABCB7	1
19	23	Q21113675	https://en.wikipedia.org/wiki/ABCF1	1
20	23	Q21146785	https://en.wikipedia.org/wiki/ABCF1	1
21	24	Q21115224	https://en.wikipedia.org/wiki/ABCA4	1
22	25	Q587961	https://en.wikipedia.org/wiki/ABL_(gene)	1
23	27	Q21104796	https://en.wikipedia.org/wiki/ABL2	1
24	28	Q4650352	https://en.wikipedia.org/wiki/ABO_(gene)	1
25	29	Q21111148	https://en.wikipedia.org/wiki/Abr,_rhogef_and_gtpase_activating_protein	1
26	29	Q21117668	https://en.wikipedia.org/wiki/Abr,_rhogef_and_gtpase_activating_protein	1
27	30	Q21117656	https://en.wikipedia.org/wiki/ACAA1	1
28	30	Q21141236	https://en.wikipedia.org/wiki/ACAA1	1
29	30	Q21143586	https://en.wikipedia.org/wiki/ACAA1	1
30	31	Q21132367	https://en.wikipedia.org/wiki/ACACA	1
31	32	Q21132362	https://en.wikipedia.org/wiki/ACACB	1
32	32	Q21139960	https://en.wikipedia.org/wiki/ACACB	1
33	33	Q21113696	https://en.wikipedia.org/wiki/ACADL	1
34	34	Q21113690	https://en.wikipedia.org/wiki/ACADM	1
35	35	Q21113693	https://en.wikipedia.org/wiki/ACADS	1
36	35	Q21149665	https://en.wikipedia.org/wiki/ACADS	1
37	36	Q21104908	https://en.wikipedia.org/wiki/ACADSB	1
38	37	Q21115272	https://en.wikipedia.org/wiki/ACADVL	1
39	37	Q21143282	https://en.wikipedia.org/wiki/ACADVL	1
40	38	Q4650507	https://en.wikipedia.org/wiki/ACAT1	1
41	39	Q21119315	https://en.wikipedia.org/wiki/ACAT2	1
42	40	Q21102082	https://en.wikipedia.org/wiki/ASIC2	1
43	41	Q21102075	https://en.wikipedia.org/wiki/ASIC1	1
44	43	Q22676679	https://en.wikipedia.org/wiki/Acetylcholinesterase	1
45	48	Q21096283	https://en.wikipedia.org/wiki/ACO1	1
46	49	Q413934	https://en.wikipedia.org/wiki/Acrosin	1
47	50	Q21131447	https://en.wikipedia.org/wiki/ACO2	1
48	51	Q21096304	https://en.wikipedia.org/wiki/ACOX1	1
49	51	Q21139233	https://en.wikipedia.org/wiki/ACOX1	1
50	52	Q21134379	https://en.wikipedia.org/wiki/ACP1	1
51	53	Q21137437	https://en.wikipedia.org/wiki/ACP2	1
52	53	Q21174076	https://en.wikipedia.org/wiki/ACP2	1
53	54	Q21141659	https://en.wikipedia.org/wiki/Tartrate-resistant_acid_phosphatase	1
54	54	Q7686858	https://en.wikipedia.org/wiki/Tartrate-resistant_acid_phosphatase	1
55	55	Q21151790	https://en.wikipedia.org/wiki/Prostatic_acid_phosphatase	1
56	56	Q21109476	https://en.wikipedia.org/wiki/ACRV1	1
57	58	Q21096425	https://en.wikipedia.org/wiki/Actin,_alpha_skeletal_muscle	1
58	59	Q21110401	https://en.wikipedia.org/wiki/ACTA2	1
59	59	Q21142355	https://en.wikipedia.org/wiki/ACTA2	1
60	60	Q21131015	https://en.wikipedia.org/wiki/Beta-actin	1
61	60	Q21143927	https://en.wikipedia.org/wiki/Beta-actin	1
62	70	Q21096423	https://en.wikipedia.org/wiki/ACTC1	1
63	71	Q21131452	https://en.wikipedia.org/wiki/Actin,_cytoplasmic_2	1
64	71	Q21141617	https://en.wikipedia.org/wiki/Actin,_cytoplasmic_2	1
65	72	Q21096420	https://en.wikipedia.org/wiki/ACTG2	1
66	72	Q21150605	https://en.wikipedia.org/wiki/ACTG2	1
67	81	Q21096355	https://en.wikipedia.org/wiki/Actinin_alpha_4	1
68	81	Q21150569	https://en.wikipedia.org/wiki/Actinin_alpha_4	1
69	86	Q21096246	https://en.wikipedia.org/wiki/ACTL6A	1
70	87	Q21096383	https://en.wikipedia.org/wiki/Alpha_actinin_1	1
71	87	Q21137452	https://en.wikipedia.org/wiki/Alpha_actinin_1	1
72	87	Q21141239	https://en.wikipedia.org/wiki/Alpha_actinin_1	1
73	88	Q21096407	https://en.wikipedia.org/wiki/Actinin_alpha_2	1
74	89	Q21096435	https://en.wikipedia.org/wiki/Actinin_alpha_3	1
75	90	Q21137834	https://en.wikipedia.org/wiki/ACVR1	1
76	90	Q4650904	https://en.wikipedia.org/wiki/ACVR1	1
77	91	Q1500003	https://en.wikipedia.org/wiki/ACVR1B	1
78	92	Q4650906	https://en.wikipedia.org/wiki/ACVR2A	1
79	93	Q4650908	https://en.wikipedia.org/wiki/ACVR2B	1
80	94	Q21117831	https://en.wikipedia.org/wiki/ACVRL1	1
81	94	Q4650909	https://en.wikipedia.org/wiki/ACVRL1	1
82	95	Q21110398	https://en.wikipedia.org/wiki/ACY1	1
83	97	Q21113795	https://en.wikipedia.org/wiki/ACYP1	1
84	98	Q21113800	https://en.wikipedia.org/wiki/ACYP2	1
85	100	Q356093	https://en.wikipedia.org/wiki/Adenosine_deaminase	1
86	101	Q21113736	https://en.wikipedia.org/wiki/ADAM8	1
87	102	Q21113783	https://en.wikipedia.org/wiki/ADAM10	1
88	102	Q21137187	https://en.wikipedia.org/wiki/ADAM10	1
89	102	Q21137617	https://en.wikipedia.org/wiki/ADAM10	1
90	103	Q21118028	https://en.wikipedia.org/wiki/ADAR	1
91	104	Q21113739	https://en.wikipedia.org/wiki/ADARB1	1
92	105	Q21127013	https://en.wikipedia.org/wiki/ADARB2	1
93	107	Q21111202	https://en.wikipedia.org/wiki/ADCY1	1
94	108	Q21111201	https://en.wikipedia.org/wiki/ADCY2	1
95	108	Q21151772	https://en.wikipedia.org/wiki/ADCY2	1
