	QID	label	geneID	proteinID
0	Q18026565	GRSF1	2926	Q21106244
1	Q18026565	GRSF1	2926	Q21143308
4	Q18026568	GSC2	2928	Q21119009
6	Q18026591	GSTM5	2949	Q21141455
7	Q18026591	GSTM5	2949	Q21201725
10	Q18026613	GTF2A2	2958	Q21135074
12	Q18026637	GTF2H3	2967	Q21135780
13	Q18026637	GTF2H3	2967	Q21151810
16	Q18026673	GUCA2A	2980	Q22679457
17	Q18026695	GUSB	2990	Q22677398
19	Q18026706	GYPC	2995	Q21106167
21	Q18026711	GYS1	2997	Q21105022
22	Q18026714	GYS2	2998	Q21119061
23	Q18026870	NCKAP1L	3071	Q21154895
25	Q18026884	HGD	3081	Q22680163
27	Q18026938	HLA-DPA1	3113	Q21102663
28	Q18026938	HLA-DPA1	3113	Q21144042
29	Q18026997	HLCS	3141	Q21113707
30	Q18026997	HLCS	3141	Q21140041
33	Q18027023	HMGCL	3155	Q21118307
34	Q18027023	HMGCL	3155	Q21142817
37	Q18027041	HMX1	3166	Q21119117
39	Q18027044	HMX2	3167	Q21119098
41	Q18027235	HPD	3242	Q21173760
43	Q18027278	ERAS	3266	Q21120516
45	Q18027304	HSBP1	3281	Q21112966
47	Q18027395	DNAJC4	3338	Q21101306
48	Q18027395	DNAJC4	3338	Q21117966
51	Q18027408	FOXN2	3344	Q21132049
53	Q18027484	ICAM4	3386	Q21141708
55	Q18027497	MRPL58	3396	Q21114680
56	Q18031429	SDF2	6388	Q21202230
58	Q18031474	SH3BP2	6452	Q21111127
59	Q18031474	SH3BP2	6452	Q21117741
62	Q18031487	SHMT1	6470	Q21106202
64	Q18031498	ST3GAL1	6482	Q21136020
65	Q18031499	ST3GAL2	6483	Q21136024
66	Q18031499	ST3GAL2	6483	Q21141124
67	Q18031517	SLA	6503	Q21110119
68	Q18031517	SLA	6503	Q21149040
71	Q18031539	SLC6A7	6534	Q21121383
73	Q18031542	SLC6A11	6538	Q21124446
75	Q18031544	SLC6A13	6540	Q21124462
77	Q18031547	SLC8A2	6543	Q21119539
78	Q18031549	SLC8A1	6546	Q21119536
79	Q18031549	SLC8A1	6546	Q21137427
80	Q18031550	SLC8A3	6547	Q21119538
81	Q18031559	SLC12A1	6557	Q21124409
82	Q18031559	SLC12A1	6557	Q21137901
83	Q18031560	SLC12A2	6558	Q21119653
84	Q18031560	SLC12A2	6558	Q21136955
85	Q18031562	SLC13A1	6561	Q21124431
87	Q18031647	SOS2	6655	Q21154270
89	Q18031648	SOX1	6656	Q21174990
91	Q18031649	SOX2	6657	Q21114866
92	Q18031662	SPAG4	6676	Q21122808
94	Q18031674	SPP2	6694	Q21122088
96	Q18031680	SPRR2B	6701	Q21133833
98	Q18031684	SPRR2D	6703	Q21133832
100	Q18031685	SPRR2E	6704	Q21133831
102	Q18031687	SPRR2F	6705	Q21133838
104	Q18031688	SPRR2G	6706	Q21133840
106	Q18031699	AKR1D1	6718	Q21105062
107	Q18031705	SRM	6723	Q21152328
108	Q18031705	SRM	6723	Q22676598
111	Q18031706	SRMS	6725	Q21114280
112	Q18031710	SRP14	6727	Q21125259
114	Q18031711	SRP19	6728	Q21135061
116	Q18031712	SRP54	6729	Q21127276
118	Q18031713	SRP68	6730	Q21136189
120	Q18031714	SRP72	6731	Q21136164
122	Q18031727	SSR3	6747	Q21125267
124	Q18031747	STAC	6769	Q21133166
125	Q18031747	STAC	6769	Q21171615
128	Q18031759	NEK4	6787	Q21124822
129	Q18031759	NEK4	6787	Q21147878
130	Q18031779	STYX	6815	Q21124582
131	Q18031794	SURF2	6835	Q21123917
133	Q18031848	TBCC	6903	Q21207828
135	Q18031860	TCEA3	6920	Q21127371
137	Q18031876	ZNF354A	6940	Q21159937
139	Q18031884	TCN2	6948	Q21127375
141	Q18032615	LAPTM5	7805	Q21112183
142	Q18032615	LAPTM5	7805	Q21141457
145	Q18032642	BRPF1	7862	Q22678398
147	Q18032643	IFRD2	7866	Q21131534
149	Q18032680	EPM2A	7957	Q21110162
150	Q18032680	EPM2A	7957	Q22679436
153	Q18032693	ZNF212	7988	Q21172793
155	Q18032696	UBXN8	7993	Q21136454
157	Q18032722	MLF2	8079	Q21133092
159	Q18032730	YEATS4	8089	Q21126489
161	Q18032736	DPF3	8110	Q21114298
163	Q18032771	CLTCL1	8218	Q21109801
165	Q18032778	PNPLA4	8228	Q21134884
167	Q18032790	TMEM187	8269	Q21134321
169	Q18032791	LAGE3	8270	Q21118522
171	Q18032801	SERF1A	8293	Q21134494
173	Q18032808	ACOX2	8309	Q21096342
174	Q18032808	ACOX2	8309	Q21117898
177	Q18032876	NME5	8382	Q21114312
179	Q18032922	LTBP4	8425	Q21112738
180	Q18032922	LTBP4	8425	Q21139550
183	Q18032923	ZNF282	8427	Q21136868
185	Q18032929	RASAL1	8437	Q21126945
187	Q18032931	NSMAF	8439	Q21096448
189	Q18032937	DUSP11	8446	Q21107134
190	Q18032951	TPST2	8459	Q21134848
191	Q18032951	TPST2	8459	Q21149949
192	Q18032952	TPST1	8460	Q21134847
193	Q18032952	TPST1	8460	Q21143553
194	Q18032958	FKBP6	8468	Q21112965
195	Q18032958	FKBP6	8468	Q21147697
198	Q18032980	PRSS12	8492	Q21124843
199	Q18032982	PPFIBP2	8495	Q21104631
200	Q18032982	PPFIBP2	8495	Q21138635
203	Q18032986	PPFIA2	8499	Q21119297
204	Q18032986	PPFIA2	8499	Q21140194
207	Q18032996	NIPSNAP1	8508	Q21120952
208	Q18032996	NIPSNAP1	8508	Q21151147
211	Q18033040	LIPF	8513	Q21120778
213	Q18033065	ELP1	8518	Q21114370
215	Q18033071	DGKE	8526	Q5804957
217	Q18033080	CBX4	8535	Q21109155
219	Q18033083	BARX2	8538	Q21100429
221	Q18033087	AGPS	8540	Q21113724
222	Q18033088	PPFIA3	8541	Q21119296
223	Q18033088	PPFIA3	8541	Q21142749
226	Q18033107	PRPF18	8559	Q21123788
228	Q18033109	DEGS1	8560	Q21105760
229	Q18033109	DEGS1	8560	Q21142134
232	Q18033126	TMEFF1	8577	Q21125322
234	Q18033127	SCARF1	8578	Q21125264
236	Q18033129	LY6D	8581	Q21119947
238	Q18033143	NOP14	8602	Q21119585
240	Q18033165	JRK	8629	Q21108472
241	Q18032280	UGP2	7360	Q21101961
242	Q18032280	UGP2	7360	Q21142240
243	Q18032303	UROS	7390	Q21145474
244	Q18032303	UROS	7390	Q21173606
245	Q18032314	VASP	7408	Q1299381
246	Q18032314	VASP	7408	Q21141632
247	Q18032317	VBP1	7411	Q21122495
249	Q18032324	VEGFA	7422	Q7916455
252	Q18032362	WNT6	7475	Q21135927
254	Q18032373	GET1	7485	Q21122298
256	Q18032381	XG	7499	Q21134349
258	Q18032415	ZFP37	7539	Q21124022
