	QID	label	geneID	proteinID
0	Q14860791	NPPA	4878	Q302495
2	Q14875321	ACE2	59272	Q301630
31	Q14886374	GLA	2717	Q288705
32	Q14912150	GDF15	9518	Q74581
37	Q14916265	APOBEC3G	60489	Q296209
42	Q14916359	ADRB1	153	Q287958
44	Q15311903	MIF	4282	Q133582
53	Q17825899	AMY1A	276	Q306540
55	Q17825916	AMY1B	277	Q306540
56	Q17825933	AMY1C	278	Q306540
60	Q18031040	RARA	5914	Q254943
71	Q14864388	SYP	6855	Q3961426
79	Q14864821	EGR1	1958	Q4037945
86	Q14864994	HSPD1	3329	Q3047550
93	Q14866040	SELPLG	6404	Q4046253
98	Q14866113	FASLG	356	Q3067052
111	Q14872994	PGR	5241	Q3454525
127	Q14874544	IL9	3578	Q2563463
141	Q14875834	CYBB	1536	Q4044986
146	Q14876107	MYH7	4625	Q3046953
153	Q14876823	SLC26A5	375611	Q3402672
159	Q14877410	NR3C1	2908	Q2663095
175	Q14877650	IL5	3567	Q2584108
191	Q14878075	TFPI	7035	Q3529457
195	Q14878262	TBP	6908	Q2480972
210	Q14878303	IL13	3596	Q2526381
224	Q14881093	TAFAZZIN	6901	Q3980083
226	Q14881255	PRNP	5621	Q4046249
238	Q14885119	CD38	952	Q3648609
249	Q14888082	SP1	6667	Q4049840
257	Q14888579	ADORA1	134	Q3062781
267	Q14889532	IL7	3574	Q2665532
271	Q14330848	CNP	1267	Q4596723
278	Q14839826	ABO	28	Q4650352
284	Q14864162	KRT3	3850	Q4219505
288	Q14864184	KRT12	3859	Q4219506
291	Q14864434	CYP2E1	1571	Q4210020
299	Q14864935	CLU	1191	Q4223101
303	Q14864964	SDHD	6392	Q4215155
308	Q14865053	ARF6	382	Q4653665
312	Q14865289	ADAMTS5	11096	Q4651007
315	Q14872983	TP73	7161	Q4197146
322	Q14873945	ADAMTS13	11093	Q4651006
330	Q14874317	C3	718	Q4115543
342	Q14878175	STMN1	3925	Q4441290
347	Q14881706	ABCA12	26154	Q4650048
351	Q14881709	ADAMTS2	9509	Q4651002
354	Q14884608	ATP7A	538	Q4654858
358	Q14884788	AMACR	23600	Q4734933
362	Q14889545	ALOX5AP	241	Q4639667
366	Q14897694	NTRK1	4914	Q4051790
371	Q7261255	PNP	4860	Q414401
372	Q12791246	IGF1	3479	Q1263065
396	Q14859871	UMPS	7372	Q1499999
405	Q14860072	SHH	6469	Q2477760
429	Q14863656	COMT	1312	Q418781
430	Q14863671	CHAT	1103	Q891874
445	Q14865314	COX1	4512	Q683602
449	Q14865358	TYR	7299	Q416452
450	Q14866071	DRD4	1815	Q308856
461	Q14866169	IL3	3562	Q517897
473	Q14901649	CFL1	1072	Q4236472
477	Q14901827	VCAM1	7412	Q4052494
485	Q14902024	CTSS	1520	Q4217286
492	Q14905095	ACVR1C	130399	Q4650907
494	Q14905142	ACVR1	90	Q4650904
500	Q14905170	ACVR2A	92	Q4650906
503	Q14905179	ACVR2B	93	Q4650908
508	Q14906548	CTSG	1511	Q4217292
518	Q14907402	MDK	4192	Q4292840
525	Q14907568	MADCAM1	8174	Q4681402
531	Q14907577	LBP	3929	Q4262879
537	Q14907714	CASP9	842	Q4216687
547	Q14907881	ABCB5	340273	Q4650058
549	Q14907930	AMELY	266	Q4652604
553	Q14910515	APOC3	345	Q4068038
559	Q14910792	APOC4	346	Q4068037
563	Q14911772	AMELX	265	Q4652602
568	Q14911946	CTSB	1508	Q4217285
571	Q14864955	SERPINF2	5345	Q4734972
579	Q14865202	BACE2	25825	Q4897229
583	Q14866198	AREG	374	Q4748347
589	Q14872693	COQ7	10229	Q5013459
593	Q14874295	CYP2A6	1548	Q5014953
597	Q14876882	GDF9	2661	Q4941566
600	Q14885879	TBXT	6862	Q4953612
609	Q14890024	AVPR1A	552	Q4789584
614	Q14890030	AVPR1B	553	Q4789587
619	Q14890035	AVPR2	554	Q4789588
623	Q14901964	CASP1	834	Q5049052
636	Q14902030	CTSO	1519	Q5052488
639	Q14902080	CTSC	1075	Q5052480
644	Q14903592	BMP10	27302	Q4941561
647	Q14903601	BMP8B	656	Q4941572
650	Q14903748	BMP6	654	Q4941569
654	Q14903759	BMP5	653	Q4941570
659	Q14903775	BMP8A	353500	Q4941571
662	Q14905165	CYP1B1	1545	Q5014947
666	Q14905275	ARNT	405	Q4802695
670	Q14905329	C3AR1	719	Q5008167
676	Q14912019	STAT3	6774	Q4210010
689	Q14912185	ANGPT2	285	Q4652964
694	Q14912808	ABCD1	215	Q4650077
697	Q14912913	SDC1	6382	Q4420082
703	Q14912946	TLR1	7096	Q4459741
710	Q14913118	ACSL6	23305	Q4650811
712	Q14913201	ACAT1	38	Q4650507
715	Q14913379	ABCC4	10257	Q4650073
717	Q14914085	TLR5	7100	Q4459744
722	Q14914156	IL1RN	3557	Q4066948
733	Q14914188	NRG1	3084	Q4316429
738	Q14914217	SRR	63826	Q4417629
746	Q14914325	TRAF6	7189	Q4050614
752	Q14914329	LY96	23643	Q4261858
758	Q14914383	MAP3K5	4217	Q4654263
762	Q14914463	ACVRL1	94	Q4650909
767	Q14916171	ABCC6	368	Q4650080
774	Q14905499	BGN	633	Q4906990
778	Q14905515	ATXN1	6310	Q4812916
781	Q14905704	AURKA	6790	Q4822488
786	Q14906081	AMPH	273	Q4748325
794	Q14906371	SERPINA3	12	Q4734974
804	Q14906890	ICOS	29851	Q5009806
814	Q14907607	TNFRSF4	7293	Q5009779
821	Q14907671	IBSP	3381	Q4941582
826	Q14907689	BAK1	578	Q4875407
831	Q14907752	CCN2	1490	Q5014566
834	Q14907954	CDKL5	6792	Q5009956
838	Q14907967	GRK2	156	Q4897285
844	Q14908060	BAMBI	25805	Q4834576
849	Q14908072	CALB2	794	Q5023949
852	Q14908222	ANXA1	301	Q4769148
857	Q14911549	CX3CR1	1524	Q5014872
860	Q14911664	AURKB	9212	Q4822491
864	Q14911798	CD164	8763	Q5009787
870	Q14911804	MCAM	4162	Q5009780
881	Q14897641	SNAP25	6616	Q3943776
889	Q14897872	NGFR	4804	Q4044941
895	Q14897899	FGF23	8074	Q3616234
903	Q14901445	UGT1A1	54658	Q3547204
908	Q14901468	HSD11B2	3291	Q2807192
914	Q14902502	AQP4	361	Q3820749
920	Q14904911	GCGR	2642	Q3931279
926	Q14904962	BMPR1A	657	Q3631924
932	Q14904983	CYP11B2	1585	Q3609382
