	title	page_length	last_touched	lastrevid	geneid	proteinID	wikilink	counts	pubcount	median_pub_year	max_pub_year	priority_score
5193	HLA-DRB1	5659	2022-03-11T22:52:56Z	1064894969	3123	Q21115027	https://en.wikipedia.org/wiki/HLA-DRB1	1	2794	2008	2022	2.764953803044455
5190	HLA-DRB1	5659	2022-03-11T22:52:56Z	1064894969	3123	Q21115014	https://en.wikipedia.org/wiki/HLA-DRB1	1	2794	2008	2022	2.764953803044455
5194	HLA-DRB1	5659	2022-03-11T22:52:56Z	1064894969	3123	Q21115028	https://en.wikipedia.org/wiki/HLA-DRB1	1	2794	2008	2022	2.764953803044455
5191	HLA-DRB1	5659	2022-03-11T22:52:56Z	1064894969	3123	Q21115015	https://en.wikipedia.org/wiki/HLA-DRB1	1	2794	2008	2022	2.764953803044455
5186	HLA-DRB1	5659	2022-03-11T22:52:56Z	1064894969	3123	Q21114961	https://en.wikipedia.org/wiki/HLA-DRB1	1	2794	2008	2022	2.764953803044455
5195	HLA-DRB1	5659	2022-03-11T22:52:56Z	1064894969	3123	Q21115032	https://en.wikipedia.org/wiki/HLA-DRB1	1	2794	2008	2022	2.764953803044455
5192	HLA-DRB1	5659	2022-03-11T22:52:56Z	1064894969	3123	Q21115017	https://en.wikipedia.org/wiki/HLA-DRB1	1	2794	2008	2022	2.764953803044455
5187	HLA-DRB1	5659	2022-03-11T22:52:56Z	1064894969	3123	Q21114970	https://en.wikipedia.org/wiki/HLA-DRB1	1	2794	2008	2022	2.764953803044455
5185	HLA-DRB1	5659	2022-03-11T22:52:56Z	1064894969	3123	Q21114959	https://en.wikipedia.org/wiki/HLA-DRB1	1	2794	2008	2022	2.764953803044455
5188	HLA-DRB1	5659	2022-03-11T22:52:56Z	1064894969	3123	Q21114971	https://en.wikipedia.org/wiki/HLA-DRB1	1	2794	2008	2022	2.764953803044455
5189	HLA-DRB1	5659	2022-03-11T22:52:56Z	1064894969	3123	Q21115013	https://en.wikipedia.org/wiki/HLA-DRB1	1	2794	2008	2022	2.764953803044455
3771	MYC	4580	2022-03-23T17:33:33Z	1078850406	4609	Q21150941	https://en.wikipedia.org/wiki/MYC	1	2427	2014	2022	3.0501918278228324
3772	MYC	4580	2022-03-23T17:33:33Z	1078850406	4609	Q420267	https://en.wikipedia.org/wiki/MYC	1	2427	2014	2022	3.0501918278228324
545	GSTT1	1407	2022-03-11T23:04:01Z	994839059	2952	Q21133226	https://en.wikipedia.org/wiki/GSTT1	1	1862	2009	2022	7.772320540156361
546	GSTT1	1407	2022-03-11T23:04:01Z	994839059	2952	Q21148104	https://en.wikipedia.org/wiki/GSTT1	1	1862	2009	2022	7.772320540156361
4856	GSTP1	5400	2022-03-11T23:04:02Z	1044900163	2950	Q21142163	https://en.wikipedia.org/wiki/GSTP1	1	1641	2009	2022	2.4379232804232807
4857	GSTP1	5400	2022-03-11T23:04:02Z	1044900163	2950	Q21171798	https://en.wikipedia.org/wiki/GSTP1	1	1641	2009	2022	2.4379232804232807
6319	HLA-DQB1	6722	2022-03-11T23:04:05Z	993042720	3119	Q21117991	https://en.wikipedia.org/wiki/HLA-DQB1	1	1525	2007	2022	2.032295341522506
7987	ERT2	8481	2022-03-21T23:11:30Z	1078508850	5595	Q2984851	https://en.wikipedia.org/wiki/ERT2	1	1430	2010	2022	1.689820523186282
4858	HMOX1	5402	2022-03-20T21:51:42Z	1027876964	3162	Q5631153	https://en.wikipedia.org/wiki/HMOX1	1	1126	2012	2022	2.2533090918707357
7124	HLA-C	7576	2022-03-11T22:55:48Z	1041634707	3107	Q21114983	https://en.wikipedia.org/wiki/HLA-C	1	1035	2009	2022	1.6896006184944938
7122	HLA-C	7576	2022-03-11T22:55:48Z	1041634707	3107	Q21114981	https://en.wikipedia.org/wiki/HLA-C	1	1035	2009	2022	1.6896006184944938
7131	HLA-C	7576	2022-03-11T22:55:48Z	1041634707	3107	Q21115026	https://en.wikipedia.org/wiki/HLA-C	1	1035	2009	2022	1.6896006184944938
7120	HLA-C	7576	2022-03-11T22:55:48Z	1041634707	3107	Q21114962	https://en.wikipedia.org/wiki/HLA-C	1	1035	2009	2022	1.6896006184944938
7132	HLA-C	7576	2022-03-11T22:55:48Z	1041634707	3107	Q21115031	https://en.wikipedia.org/wiki/HLA-C	1	1035	2009	2022	1.6896006184944938
