	title	page_length	last_touched	lastrevid	geneid	proteinID	wikilink	counts	pubcount	median_pub_year	max_pub_year	priority_score
25	MED20	257	2022-03-02T16:25:26Z	1062337417	9477	Q21118702	https://en.wikipedia.org/wiki/MED20	1	52	2013	2021	38.9290772651473
41	PDE9	343	2022-02-21T23:13:04Z	1014902176	5152	Q5864342	https://en.wikipedia.org/wiki/PDE9	1	44	2011	2021	29.170233236151603
60	LMTK3	378	2022-03-11T23:44:49Z	798575270	114783	Q21121585	https://en.wikipedia.org/wiki/LMTK3	1	35	2014	2021	26.467526455026455
61	ZNF830	379	2022-03-11T23:51:01Z	1050126584	91603	Q21130695	https://en.wikipedia.org/wiki/ZNF830	1	32	2015	2021	26.396652845834904
69	Secretogranin-1	382	2022-03-12T00:02:03Z	928203790	1114	Q63398	https://en.wikipedia.org/wiki/Secretogranin-1	1	75	2009	2021	26.204796185489904
68	Secretogranin-1	382	2022-03-12T00:02:03Z	928203790	1114	Q21139551	https://en.wikipedia.org/wiki/Secretogranin-1	1	75	2009	2021	26.204796185489904
75	MYEF2	385	2022-03-16T10:26:40Z	798862254	50804	Q21133479	https://en.wikipedia.org/wiki/MYEF2	1	60	2015	2021	25.995454545454546
101	KRT77	400	2022-03-13T19:52:18Z	959326709	374454	Q21118540	https://en.wikipedia.org/wiki/KRT77	1	33	2015	2021	25.011785714285715
102	KRT77	400	2022-03-13T19:52:18Z	959326709	374454	Q21132264	https://en.wikipedia.org/wiki/KRT77	1	33	2015	2021	25.011785714285715
111	FBXO38	411	2022-03-12T00:00:49Z	914202420	81545	Q21101346	https://en.wikipedia.org/wiki/FBXO38	1	37	2015	2021	24.34411452902329
124	DNAJA4	430	2022-03-11T23:51:24Z	798055150	55466	Q21117961	https://en.wikipedia.org/wiki/DNAJA4	1	35	2015	2021	23.26831395348837
131	EHD4	438	2022-03-11T23:07:38Z	997881434	30844	Q21110137	https://en.wikipedia.org/wiki/EHD4	1	59	2015	2021	22.85212165688193
146	NAA35	455	2022-03-11T23:35:41Z	808236776	60560	Q21123011	https://en.wikipedia.org/wiki/NAA35	1	33	2017	2021	21.989807692307693
157	ZFR	474	2022-03-11T23:35:20Z	1001706157	51663	Q21207993	https://en.wikipedia.org/wiki/ZFR	1	105	2018	2022	21.13454641350211
159	ZNF207	477	2022-03-11T23:33:09Z	1001805302	7756	Q21138704	https://en.wikipedia.org/wiki/ZNF207	1	57	2015	2021	20.98471772985924
158	ZNF207	477	2022-03-11T23:33:09Z	1001805302	7756	Q21136839	https://en.wikipedia.org/wiki/ZNF207	1	57	2015	2021	20.98471772985924
163	NOA1	492	2022-03-11T23:32:57Z	1052672637	84273	Q21123063	https://en.wikipedia.org/wiki/NOA1	1	39	2015	2021	20.33913182346109
170	ASCC1	501	2022-03-12T00:02:22Z	1040008433	51008	Q21201654	https://en.wikipedia.org/wiki/ASCC1	1	48	2017	2021	19.97722269746222
174	ARL15	506	2022-03-11T23:34:17Z	808180415	54622	Q21097466	https://en.wikipedia.org/wiki/ARL15	1	33	2014	2021	19.774631564088086
182	HJURP	526	2022-03-11T23:35:02Z	1001743349	55355	Q21154959	https://en.wikipedia.org/wiki/HJURP	1	67	2015	2021	19.035335415535034
184	RBMS3	527	2022-03-11T23:58:49Z	898194849	27303	Q21125040	https://en.wikipedia.org/wiki/RBMS3	1	36	2014	2021	18.98818921116834
186	CLUH	529	2022-03-11T23:34:38Z	808192148	23277	Q21111944	https://en.wikipedia.org/wiki/CLUH	1	39	2016	2021	18.91752025384823
187	CLUH	529	2022-03-11T23:34:38Z	808192148	23277	Q21142469	https://en.wikipedia.org/wiki/CLUH	1	39	2016	2021	18.91752025384823
189	LACC1	546	2022-03-11T23:35:39Z	1076322912	144811	Q21107906	https://en.wikipedia.org/wiki/LACC1	1	38	2015	2021	18.328589743589742
191	SLC15A4	553	2022-03-11T23:35:38Z	1002390789	121260	Q21124422	https://en.wikipedia.org/wiki/SLC15A4	1	33	2014	2021	18.09496835443038
192	SLC15A4	553	2022-03-11T23:35:38Z	1002390789	121260	Q21150447	https://en.wikipedia.org/wiki/SLC15A4	1	33	2014	2021	18.09496835443038
194	MMTP2	560	2022-03-11T23:34:15Z	1003874057	79169	Q21481844	https://en.wikipedia.org/wiki/MMTP2	1	75	2018	2021	17.883928571428573
197	FAM105B	566	2022-03-11T23:32:57Z	1049974935	90268	Q21112127	https://en.wikipedia.org/wiki/FAM105B	1	56	2016	2021	17.6878445229682
203	Syndetin	567	2022-03-11T23:16:41Z	845120067	55610	Q21483184	https://en.wikipedia.org/wiki/Syndetin	1	36	2015	2021	17.649541446208115
202	Syndetin	567	2022-03-11T23:16:41Z	845120067	55610	Q21138279	https://en.wikipedia.org/wiki/Syndetin	1	36	2015	2021	17.649541446208115
205	GRINA	581	2022-03-11T23:35:38Z	993494375	2907	Q21113588	https://en.wikipedia.org/wiki/GRINA	1	51	2005	2021	17.229918244406196
214	ARMC5	609	2022-03-11T23:33:01Z	1031406818	79798	Q21139847	https://en.wikipedia.org/wiki/ARMC5	1	42	2017	2021	16.435361247947455
213	ARMC5	609	2022-03-11T23:33:01Z	1031406818	79798	Q21116725	https://en.wikipedia.org/wiki/ARMC5	1	42	2017	2021	16.435361247947455
220	UBL7	629	2022-03-11T23:35:39Z	929091598	84993	Q21116571	https://en.wikipedia.org/wiki/UBL7	1	33	2014	2021	15.910036906654554
221	UBL7	629	2022-03-11T23:35:39Z	929091598	84993	Q21138691	https://en.wikipedia.org/wiki/UBL7	1	33	2014	2021	15.910036906654554
225	ETM1	639	2022-03-13T19:39:44Z	1053938494	1814	Q21110872	https://en.wikipedia.org/wiki/ETM1	1	413	2009	2021	15.79695226917058
230	Bank1	643	2022-03-11T23:37:51Z	1075478477	55024	Q21132760	https://en.wikipedia.org/wiki/Bank1	1	61	2012	2021	15.573885247722728
232	Pleckstrin	647	2022-03-14T02:48:07Z	1070560100	5341	Q22679878	https://en.wikipedia.org/wiki/Pleckstrin	1	49	2008	2021	15.47345054095827
233	KCMF1	654	2022-03-11T23:47:54Z	995710023	56888	Q21119222	https://en.wikipedia.org/wiki/KCMF1	1	43	2015	2022	15.305877020532984
234	KCMF1	654	2022-03-11T23:47:54Z	995710023	56888	Q21139572	https://en.wikipedia.org/wiki/KCMF1	1	43	2015	2022	15.305877020532984
238	RPL26L1	655	2022-03-12T00:03:37Z	951163811	51121	Q21138851	https://en.wikipedia.org/wiki/RPL26L1	1	61	2016	2022	15.288961286804799
237	RPL26L1	655	2022-03-12T00:03:37Z	951163811	51121	Q21134214	https://en.wikipedia.org/wiki/RPL26L1	1	61	2016	2022	15.288961286804799
239	GBP5	656	2022-03-11T23:33:41Z	1060644649	115362	Q21114594	https://en.wikipedia.org/wiki/GBP5	1	34	2015	2022	15.256045296167247
240	USP19	659	2022-03-11T23:46:28Z	905375640	10869	Q21126693	https://en.wikipedia.org/wiki/USP19	1	62	2017	2021	15.196649685670929
247	TMEM109	690	2022-03-11T23:47:50Z	995378223	79073	Q21134423	https://en.wikipedia.org/wiki/TMEM109	1	48	2017	2021	14.509896480331264
248	OPN1MW2	692	2022-03-13T19:52:18Z	968994018	2652	Q23301892	https://en.wikipedia.org/wiki/OPN1MW2	1	38	2010	2021	14.464438480594549
256	LAPTM4A	698	2022-03-11T23:51:50Z	1014643518	9741	Q21119277	https://en.wikipedia.org/wiki/LAPTM4A	1	33	2012	2021	14.338433278755629
263	MB21D1	705	2022-03-11T23:46:19Z	978136764	115004	Q22676633	https://en.wikipedia.org/wiki/MB21D1	1	200	2019	2022	14.255825734549138
262	DEPDC1	704	2022-03-11T23:35:38Z	1003874024	55635	Q21140702	https://en.wikipedia.org/wiki/DEPDC1	1	40	2017	2021	14.21883116883117
