	QID	label	geneID	proteinID
1	Q17825270	AMD1	262	Q21101005
4	Q17831870	ARHGAP6	395	Q21135388
6	Q17832129	ARSD	414	Q21154319
7	Q17832139	ARSF	416	Q21172666
8	Q17832142	ART1	417	Q21108992
9	Q17832224	ASGR2	433	Q21130027
12	Q17832531	ASTN1	460	Q21097470
15	Q17833082	ATP1B2	482	Q21097507
18	Q17833539	ATP4A	495	Q21110467
19	Q17833574	ATP4B	496	Q21110468
23	Q17848358	BHMT	635	Q21115522
28	Q17850714	BPGM	669	Q22677745
39	Q17853510	ZFP36L2	678	Q21122858
41	Q17854030	C1QB	713	Q21116901
55	Q17854192	C8A	731	Q21102473
56	Q17854201	C8B	732	Q21102474
57	Q17854207	C8G	733	Q21102475
58	Q17854210	OSGIN2	734	Q21121797
66	Q17854244	ZNHIT2	741	Q21136819
72	Q17854263	TMEM258	746	Q21136286
74	Q18038588	RPUSD2	27079	Q21122039
76	Q18038590	MTBP	27085	Q21120066
78	Q18038597	CACNG5	27091	Q21113996
90	Q18038635	DKKL1	27120	Q21112252
92	Q18038671	PALD1	27143	Q22680126
94	Q18038673	FAM184B	27146	Q21110274
108	Q18038678	ZNF777	27153	Q21136739
114	Q18038682	CHIA	27159	Q21100758
116	Q18038688	PRELID1	27166	Q21133422
118	Q18038704	IL17C	27189	Q21120658
119	Q18038705	IL17B	27190	Q21120661
120	Q18038728	ARHGEF16	27237	Q21101965
122	Q18038729	GPKOW	27238	Q21108309
128	Q18038754	TEKT2	27285	Q21135795
130	Q18038756	VENTX	27287	Q21105490
132	Q18038757	RBMXL2	27288	Q21120533
134	Q18038760	SPINK4	27290	Q21114752
136	Q18038761	R3HCC1L	27291	Q21102235
144	Q18038764	DHDH	27294	Q22678337
146	Q18038766	TP53TG5	27296	Q21136237
148	Q18038768	ADAMDEC1	27299	Q21111187
149	Q18038769	ZNF544	27300	Q21130424
151	Q18038770	APEX2	27301	Q21116613
156	Q18038779	BHLHE22	27319	Q21115513
160	Q18038788	GOLIM4	27333	Q21133221
166	Q18038802	TOR1B	27348	Q21121457
167	Q18038805	DESI1	27351	Q21132975
174	Q17909094	COX11	1353	Q21100881
180	Q17909213	CR1L	1379	Q21132183
181	Q17909267	CREBL2	1389	Q21112025
182	Q17909946	CRY2	1408	Q21112063
187	Q17910389	CSE1L	1434	Q21123190
198	Q17910413	CSHL1	1444	Q21154416
202	Q17910598	CSNK1G3	1456	Q21107865
211	Q17911638	CTRB1	1504	Q21173234
212	Q17911647	TEX28	1527	Q21127395
214	Q17911653	CYLC1	1538	Q21117446
217	Q17912747	DAO	1610	Q21156897
218	Q17913225	ECI1	1632	Q21113222
222	Q17913823	DMXL1	1657	Q21117514
224	Q17913951	CFD	1675	Q21149382
225	Q18033143	NOP14	8602	Q21119585
236	Q18026568	GSC2	2928	Q21119009
242	Q18026613	GTF2A2	2958	Q21135074
248	Q18026673	GUCA2A	2980	Q22679457
249	Q18026695	GUSB	2990	Q22677398
251	Q18026706	GYPC	2995	Q21106167
253	Q18026711	GYS1	2997	Q21105022
254	Q18026714	GYS2	2998	Q21119061
255	Q18026870	NCKAP1L	3071	Q21154895
257	Q18026884	HGD	3081	Q22680163
269	Q18027041	HMX1	3166	Q21119117
271	Q18027044	HMX2	3167	Q21119098
273	Q18027235	HPD	3242	Q21173760
275	Q18027278	ERAS	3266	Q21120516
277	Q18027304	HSBP1	3281	Q21112966
