	title	page_length	last_touched	lastrevid	geneID	proteinID	wikilink	counts
0	FAM234A	19	2021-09-27T20:11:03Z	848630202	83986	Q21437672	https://en.wikipedia.org/wiki/FAM234A	1
1	Granulysin	35	2022-02-14T06:10:27Z	902999968	10578	Q5596842	https://en.wikipedia.org/wiki/Granulysin	1
2	AMICA1	35	2022-01-16T13:26:16Z	805503068	120425	Q21108774	https://en.wikipedia.org/wiki/AMICA1	1
3	CYP46A1	40	2021-12-31T19:33:44Z	935776696	10858	Q22676602	https://en.wikipedia.org/wiki/CYP46A1	1
4	GZMA	42	2022-01-27T22:13:28Z	958442512	3001	Q22680275	https://en.wikipedia.org/wiki/GZMA	1
5	LL37	43	2021-12-31T19:33:57Z	897661952	820	Q1798192	https://en.wikipedia.org/wiki/LL37	1
6	HAMP	45	2022-03-09T19:49:17Z	861465670	57817	Q419983	https://en.wikipedia.org/wiki/HAMP	1
7	MPST	50	2021-08-20T17:46:18Z	809414694	4357	Q22679696	https://en.wikipedia.org/wiki/MPST	1
8	TUBB3	51	2022-01-16T13:26:13Z	811006093	10381	Q21135787	https://en.wikipedia.org/wiki/TUBB3	1
9	TUBB3	51	2022-01-16T13:26:13Z	811006093	10381	Q21151823	https://en.wikipedia.org/wiki/TUBB3	1
10	GHRL	54	2022-03-13T17:17:06Z	952851841	51738	Q422269	https://en.wikipedia.org/wiki/GHRL	1
11	GHRL	54	2022-03-13T17:17:06Z	952851841	51738	Q66216544	https://en.wikipedia.org/wiki/GHRL	1
12	GHRL	54	2022-03-13T17:17:06Z	952851841	51738	Q66218716	https://en.wikipedia.org/wiki/GHRL	1
13	GHRL	54	2022-03-13T17:17:06Z	952851841	51738	Q905680	https://en.wikipedia.org/wiki/GHRL	1
14	NUDT1	59	2022-01-16T13:26:13Z	841483714	4521	Q21115125	https://en.wikipedia.org/wiki/NUDT1	1
15	RETSAT	65	2022-01-27T00:26:44Z	978081126	54884	Q21141569	https://en.wikipedia.org/wiki/RETSAT	1
16	RETSAT	65	2022-01-27T00:26:44Z	978081126	54884	Q22676580	https://en.wikipedia.org/wiki/RETSAT	1
17	DPYD	70	2022-01-16T13:26:13Z	942597259	1806	Q21118006	https://en.wikipedia.org/wiki/DPYD	1
18	CCDC166	72	2022-03-02T14:01:06Z	887103364	100130274	Q21116978	https://en.wikipedia.org/wiki/CCDC166	1
19	NRARP	77	2022-01-27T01:14:35Z	1038532010	441478	Q21121739	https://en.wikipedia.org/wiki/NRARP	1
20	NFATC2IP	96	2021-12-17T22:13:32Z	1038445101	84901	Q21124066	https://en.wikipedia.org/wiki/NFATC2IP	1
21	PNPO	101	2022-02-26T17:53:18Z	1074149607	55163	Q21123307	https://en.wikipedia.org/wiki/PNPO	1
22	PNPO	101	2022-02-26T17:53:18Z	1074149607	55163	Q21139740	https://en.wikipedia.org/wiki/PNPO	1
23	MED20	257	2022-03-02T16:25:26Z	1062337417	9477	Q21118702	https://en.wikipedia.org/wiki/MED20	1
