	QID	label	geneID	proteinID	wikilink
0	Q18026375	GPR19	2842	Q21110924	https://en.wikipedia.org/wiki/GPR19
4	Q18026378	GPR20	2843	Q21110930	https://en.wikipedia.org/wiki/GPR20
9	Q18026380	GPR21	2844	Q21110931	https://en.wikipedia.org/wiki/GPR21
12	Q18026383	GPR22	2845	Q21110932	https://en.wikipedia.org/wiki/GPR22
13	Q18026383	GPR22	2845	Q21144166	https://en.wikipedia.org/wiki/GPR22
24	Q18026385	LPAR4	2846	Q21154430	https://en.wikipedia.org/wiki/LPAR4
29	Q18026388	MCHR1	2847	Q6811392	https://en.wikipedia.org/wiki/Melanin-concentrating_hormone_receptor_1
33	Q18026391	GPR25	2848	Q21100902	https://en.wikipedia.org/wiki/GPR25
38	Q18026393	GPR26	2849	Q21110927	https://en.wikipedia.org/wiki/GPR26
43	Q18026395	GPR27	2850	Q21110937	https://en.wikipedia.org/wiki/GPR27
48	Q18026398	GPR31	2853	Q21110912	https://en.wikipedia.org/wiki/GPR31
53	Q18026401	GPR32	2854	Q21110916	https://en.wikipedia.org/wiki/GPR32
57	Q18026407	GPR33	2856	Q21110925	https://en.wikipedia.org/wiki/GPR33
58	Q18026407	GPR33	2856	Q21151014	https://en.wikipedia.org/wiki/GPR33
65	Q18026410	GPR34	2857	Q21110938	https://en.wikipedia.org/wiki/GPR34
69	Q18026413	GPR35	2859	Q21110936	https://en.wikipedia.org/wiki/GPR35
74	Q18026418	GPR37	2861	Q21204205	https://en.wikipedia.org/wiki/GPR37
79	Q18026421	GPR39	2863	Q21110915	https://en.wikipedia.org/wiki/GPR39
85	Q18026423	FFAR1	2864	Q5500222	https://en.wikipedia.org/wiki/Free_fatty_acid_receptor_1
90	Q18026426	FFAR3	2865	Q5500227	https://en.wikipedia.org/wiki/Free_fatty_acid_receptor_3
94	Q18026429	GPR42	2866	Q21110913	https://en.wikipedia.org/wiki/GPR42
97	Q18026432	FFAR2	2867	Q5500223	https://en.wikipedia.org/wiki/Free_fatty_acid_receptor_2
100	Q18025876	GGT5	2687	Q21139809	https://en.wikipedia.org/wiki/Gamma-glutamyltransferase_5
106	Q18025887	GH1	2688	Q21117621	https://en.wikipedia.org/wiki/Growth_hormone_1
107	Q18025887	GH1	2688	Q22675856	https://en.wikipedia.org/wiki/Growth_hormone_1
112	Q18025898	GH2	2689	Q21136136	https://en.wikipedia.org/wiki/Growth_hormone_2
117	Q18025940	GJA3	2700	Q21107107	https://en.wikipedia.org/wiki/GJA3
122	Q18025951	GJA4	2701	Q21107052	https://en.wikipedia.org/wiki/GJA4
128	Q18025961	GJA5	2702	Q21113152	https://en.wikipedia.org/wiki/GJA5
129	Q18025961	GJA5	2702	Q21117704	https://en.wikipedia.org/wiki/GJA5
137	Q18025973	GJA8	2703	Q21113158	https://en.wikipedia.org/wiki/GJA8
141	Q18025986	GJB1	2705	Q21113115	https://en.wikipedia.org/wiki/GJB1
145	Q18025996	GJB2	2706	Q21113127	https://en.wikipedia.org/wiki/GJB2
153	Q18026018	GJB5	2709	Q21113100	https://en.wikipedia.org/wiki/GJB5
156	Q18026064	GPC3	2719	Q21103196	https://en.wikipedia.org/wiki/Glypican_3
157	Q18026064	GPC3	2719	Q21141303	https://en.wikipedia.org/wiki/Glypican_3
166	Q18026074	GLB1	2720	Q21149751	https://en.wikipedia.org/wiki/GLB1
167	Q18026074	GLB1	2720	Q21173663	https://en.wikipedia.org/wiki/GLB1
172	Q18026129	GCLC	2729	Q21119010	https://en.wikipedia.org/wiki/GCLC
173	Q18026129	GCLC	2729	Q21143313	https://en.wikipedia.org/wiki/GCLC
178	Q18026132	GCLM	2730	Q21102186	https://en.wikipedia.org/wiki/GCLM
182	Q18026135	GLDC	2731	Q21115952	https://en.wikipedia.org/wiki/Glycine_dehydrogenase_(decarboxylating)
193	Q18026140	GLE1	2733	Q21130758	https://en.wikipedia.org/wiki/GLE1L
199	Q18026144	GLG1	2734	Q21130433	https://en.wikipedia.org/wiki/GLG1
202	Q18026148	GLI4	2738	Q21110369	https://en.wikipedia.org/wiki/Gli_family_zinc_finger_4
205	Q18026151	GLO1	2739	Q6469050	https://en.wikipedia.org/wiki/Lactoylglutathione_lyase
213	Q18026154	GLRA1	2741	Q21103155	https://en.wikipedia.org/wiki/Glycine_receptor,_alpha_1
215	Q18026157	GLRA2	2742	Q21115954	https://en.wikipedia.org/wiki/GLRA2
216	Q18026157	GLRA2	2742	Q21151743	https://en.wikipedia.org/wiki/GLRA2
222	Q18026160	GLRB	2743	Q21103162	https://en.wikipedia.org/wiki/GLRB
226	Q18026165	GLRX	2745	Q21103160	https://en.wikipedia.org/wiki/GLRX
230	Q18026168	GLUD2	2747	Q21110040	https://en.wikipedia.org/wiki/GLUD2
237	Q18026212	GNA11	2767	Q21106179	https://en.wikipedia.org/wiki/GNA11
238	Q18026212	GNA11	2767	Q21140747	https://en.wikipedia.org/wiki/GNA11
251	Q18026214	GNA12	2768	Q21106187	https://en.wikipedia.org/wiki/GNA12
257	Q18026217	GNA15	2769	Q21106180	https://en.wikipedia.org/wiki/GNA15
262	Q18026220	GNAI1	2770	Q21106184	https://en.wikipedia.org/wiki/GNAI1
269	Q18026222	GNAI2	2771	Q21113113	https://en.wikipedia.org/wiki/GNAI2
276	Q18026228	GNAI3	2773	Q21106172	https://en.wikipedia.org/wiki/GNAI3
284	Q18026230	GNAL	2774	Q21106182	https://en.wikipedia.org/wiki/GNAL
285	Q18026230	GNAL	2774	Q21139871	https://en.wikipedia.org/wiki/GNAL
295	Q18026233	GNAO1	2775	Q21106174	https://en.wikipedia.org/wiki/GNAO1
296	Q18026233	GNAO1	2775	Q21138076	https://en.wikipedia.org/wiki/GNAO1
